id,question,answers,category,importance,source_page
ch02-p7-q01,継続性の原則の前提は？,複数の会計処理の存在,theme02,B,33
ch02-p7-q02,継続性の原則における正当な理由の具体例は？,貨幣価値の著しい変動等,theme02,B,33
ch02-p7-q03,継続性の原則の必要性は？,期間比較性の確保||利益操作の排除,theme02,B,33
ch02-p7-q04,正当な理由による変更の前提は？,認められた方法間の変更,theme02,B,33
ch02-p7-q05,正当な理由による変更の本質は？,より合理的な方法への変更,theme02,B,33
ch02-p7-q06,保守主義とは？,費用の早期・収益の慎重な計上を要請する会計思考,theme02,B,33
ch02-p7-q07,保守主義の原則の限度は？,認められた方法であること,theme02,B,33
ch02-p7-q08,保守主義的な会計処理の例を1つ示せ。,部分純資産直入法,theme02,B,33
ch02-p7-q09,単一性の原則にいう財務諸表の作成目的は？,株主総会提出目的||信用目的||租税目的,theme02,B,33
ch02-p7-q10,単一性の原則の要請内容は？,実質一元||形式多元,theme02,B,33
ch02-p7-q11,重要性の判断基準は？,科目の重要性||金額の重要性,theme02,B,33
ch02-p7-q12,重要性の原則の適用例を1つ示せ。,貯蔵品の買入時費用処理等,theme02,B,33
ch03-p1-q01,静態論における資産の本質は、（①）にあり、動態論では資産を支出（②）項目等とみる。これに対して、概念フレームワークでは、報告主体が支配している（③）、すなわち（④）に貢献する便益の源泉と捉えている。,売却価値|換金価値||未費用||経済的資源||キャッシュの獲得,theme03,A,31
ch03-p1-q02,事業用資産は、損益計算との関連から（①）と（②）に区別される。（①）とは、将来現金化が予定される資産をいい、将来費用化が予定される資産が（②）である。（①）の評価は（③）を基礎とし、（②）の評価は（④）を基礎とする。,貨幣性資産||費用性資産||収入額||支出額,theme03,A,31
ch03-p1-q03,費用性資産の取得原価を基礎として貸借対照表価額を決定する考え方を（①）基準という。（①）基準では、取得原価を基礎に資産を計上するため評価益が計上されず、収益の認識基準としての（②）と整合的である。費用性資産の取得原価は、（③）の原則により、当期の費用と次期以降の費用、すなわち資産に配分される。,取得原価||実現主義||費用配分,theme03,A,31
ch03-p3-q01,静態論の資産とは？,売却価値がある財産|換金価値がある財産,theme03,A,33
ch03-p3-q02,動態論の資産とは？,前払の費用|前払費用,theme03,A,33
ch03-p3-q03,概念フレームワークの資産とは？,報告主体が支配している経済的資源,theme03,A,33
ch03-p3-q04,経済的資源とは？,キャッシュの獲得に貢献する便益の源泉,theme03,A,33
ch03-p3-q05,事業投資に係る資産を損益計算との関係から2つに分類せよ。,貨幣性資産||費用性資産,theme03,A,33
ch03-p3-q06,貨幣性資産の評価額は？,回収可能価額|回収可能額,theme03,A,33
ch03-p3-q07,原価主義とは？,資産を取得原価で評価する考え方,theme03,A,33
ch03-p3-q08,原価主義の根拠は？,処分可能利益の算定||検証性・実行可能性||受託責任の遂行,theme03,A,33
ch03-p3-q09,原価主義と整合的な収益の認識基準は？,実現主義,theme03,A,33
ch03-p3-q10,原価主義の資産評価面での欠点は？,資産評価額が時価と乖離する,theme03,A,33
ch03-p3-q11,原価主義の損益計算面での欠点は？,同一価格水準の損益計算ができない,theme03,A,33
ch03-p5-q01,資本維持には、（①）、実質資本維持、実体資本維持があるが、取得原価主義のもとでは（①）しか果たすことができない。,名目資本維持,theme03,B,35
ch03-p5-q02,資産の測定値には、過去の購買市場の価格に基づく（①）、現在の購買市場の価格に基づく（②）、現在の売却市場の価格に基づく（③）、将来の売却市場の価格に基づく（④）がある。,取得原価||再調達原価||正味売却価額||割引現在価値,theme03,B,35
ch03-p5-q03,静態論では、負債は法的な（①）に限定されるが、動態論での負債は将来の支出要因を意味し、必ずしも法的な（①）に限定されない。,確定債務,theme03,B,35
ch03-p7-q01,取得原価主義で維持される資本は？,名目資本,theme03,B,37
ch03-p7-q02,一般物価の変動を加味した資本維持における資本は？,実質資本,theme03,B,37
ch03-p7-q03,個別物価の変動を加味した資本維持における資本は？,実体資本,theme03,B,37
ch03-p7-q04,過去の購買市場の価格に基づく測定値は？,取得原価,theme03,B,37
ch03-p7-q05,現在の購買市場の価格に基づく測定値は？,再調達原価,theme03,B,37
ch03-p7-q06,現在の売却市場の価格に基づく測定値は？,正味売却価額,theme03,B,37
ch03-p7-q07,将来の売却市場の価格に基づく測定値は？,割引現在価値,theme03,B,37
ch03-p7-q08,静態論の負債とは？,法的な確定債務|確定債務,theme03,B,37
ch03-p7-q09,動態論の負債とは？,将来の支出要因,theme03,B,37
ch03-p7-q10,概念フレームワークでの負債とは？,経済的資源を引き渡す義務,theme03,B,37
ch04-p1-q01,貸借対照表は、企業の（①）ないし（②）を示す財務諸表であり、貸借対照表日におけるすべての資産、負債および純資産の貸借対照表への記載を要求した原則を（③）という。,財政状態||投資のポジション||貸借対照表完全性の原則,theme04,A,41
ch04-p1-q02,貸借対照表における総額主義の原則は、資産と負債または純資産との相殺を禁ずる原則であり、企業の財政的な（①）を示すために要請される。,規模,theme04,A,41
ch04-p1-q03,貸借対照表項目の配列は、（①）を示す見地から流動性配列法が原則であるが、固定設備が多い特定の業種では（②）を示す見地から固定性配列法がとられることもある。,財務流動性|支払能力||財務健全性,theme04,A,41
ch04-p1-q04,貸借対照表の科目の分類基準には、（①）と（②）がある。（①）は企業の正常な（③）内にある資産や負債を流動項目とし、それ以外を固定項目とする基準をいう。（②）は貸借対照表日の翌日以後1年以内に期限が到来するものを流動項目、それ以外を固定項目とする基準をいう。,正常営業循環基準||1年基準|一年基準||営業循環過程,theme04,A,41
ch04-p3-q01,貸借対照表で示されるものは？,財政状態||投資のポジション,theme04,A,43
ch04-p3-q02,貸借対照表にすべての資産、負債、純資産の記載を要求する原則は？,貸借対照表完全性の原則,theme04,A,43
ch04-p3-q03,資産・負債の配列法は？　原則と例外を答えよ。,流動性配列法||固定性配列法,theme04,A,43
ch04-p3-q04,企業の財務流動性を示す資産・負債の配列法は？,流動性配列法,theme04,A,43
ch04-p3-q05,企業の財務健全性を示す資産・負債の配列法は？,固定性配列法,theme04,A,43
ch04-p3-q06,貸借対照表科目の分類基準は？,正常営業循環基準||1年基準|一年基準,theme04,A,43
ch04-p3-q07,貸借対照表の総額主義とは？,資産と負債・純資産の相殺禁止|資産と負債または純資産の相殺禁止,theme04,A,43
ch04-p3-q08,貸借対照表における総額主義の根拠は？,企業の財政規模の明示,theme04,A,43
ch04-p3-q09,貸借対照表における総額主義の例外は？,繰延税金資産と繰延税金負債の相殺表示,theme04,A,43
ch04-p5-q01,損益計算書において取引の量的な（①）を示すために収益と費用の相殺を禁じたのが（②）の原則である。損益計算書における（②）の例外には、売上・仕入高からの値引等の控除や為替差損益の純額表示等がある。,規模||総額主義,theme04,B,45
ch04-p5-q02,損益計算書に表示される利益の考え方には、企業の（①）を示すべきとする当期業績主義と、企業の（②）を示すべきとする包括主義がある。現行の損益計算書は包括主義を採用するが、区分利益として当期業績主義的な利益である（③）も併せて示すことで両者の考え方を折衷している。,短期的収益力|経常収益力||長期的収益力||経常利益,theme04,B,45
ch04-p5-q03,費用収益対応表示の原則は、損益計算書に関連する収益と費用の対応表示を求める原則である。収益と費用の対応関係には、（①）と（②）がある。（①）とは生産物を媒介とした個別的・直接的な因果関係を有する対応をいい、（②）とは期間を媒介とした間接的な対応関係をいう。これ以外に単なる取引の（③）に着目した期間外損益項目の対応表示も行われる。,個別的対応||期間的対応||同質性,theme04,B,45
ch04-p7-q01,損益計算書で明らかにされるものは？,経営成績||投資の成果,theme04,B,47
ch04-p7-q02,損益計算書の総額主義の根拠は？,取引の量的規模を示すため,theme04,B,47
ch04-p7-q03,損益計算書の総額主義の例外は？,純売上高・純仕入高||為替差損益||売買目的有価証券の評価・売却損益,theme04,B,47
ch04-p7-q04,現行の損益計算書上の当期業績主義的利益は？,経常利益,theme04,B,47
ch04-p7-q05,当期業績主義的利益が示すのは？,短期的収益力|経常収益力,theme04,B,47
ch04-p7-q06,現行の損益計算書上の包括主義による利益は？,当期純利益,theme04,B,47
ch04-p7-q07,包括主義的利益が示すのは？,長期的収益力,theme04,B,47
ch04-p7-q08,対応原則の意味は？,費用の認識原則||費用収益対応表示の原則,theme04,B,47
ch04-p7-q09,費用と収益の因果的な対応関係の種類は？,個別的対応||期間的対応,theme04,B,47
ch04-p7-q10,個別的対応とは？,生産物を媒介にした直接的な対応,theme04,B,47
ch04-p7-q11,個別的対応の例は？,売上高と売上原価,theme04,B,47
ch04-p7-q12,期間的対応とは？,期間を媒介にした間接的な対応,theme04,B,47
ch04-p7-q13,期間的対応の例は？,売上高と給料,theme04,B,47
ch05-p1-q01,支出や収入をどの会計期間における費用や収益とするかの問題、つまり費用と収益の期間帰属の決定を（①）といい、費用や収益の金額を決めることを（②）という。（①）と（②）を合わせて（③）という。,認識||測定||計上,theme05,A,61
ch05-p1-q02,費用と収益を現金の（①）時点で認識する会計を現金主義会計といい、経済価値の増減、すなわち（②）時点で費用や収益を認識する会計を発生主義会計という。,収支||発生,theme05,A,61
ch05-p1-q03,現金主義会計では、現金仕入を売上原価、現金売上を売上高とし、固定資産の取得に係る支出を費用とする。発生主義会計では、信用取引を加味し、売上に対応する売上原価のみが計上され、固定資産については費用配分手続である減価償却が行われる。（①）が行われ、恒常的（②）を有し、多くの（③）を有する現代の企業に現金主義会計は適合せず、発生主義会計が適している。,信用取引|掛取引||在庫|棚卸資産在庫||固定資産|固定設備,theme05,A,61
ch05-p3-q01,費用・収益の認識とは？,費用・収益の期間帰属の決定,theme05,A,63
ch05-p3-q02,費用・収益の測定とは？,費用・収益の金額の決定,theme05,A,63
ch05-p3-q03,現金主義とは？,現金収支により費用・収益を認識する考え方,theme05,A,63
ch05-p3-q04,現金主義会計とは？,現金主義に基づく会計,theme05,A,63
ch05-p3-q05,現金主義での費用・収益の測定基準は？,収支額基準,theme05,A,63
ch05-p3-q06,発生主義会計とは？,発生主義に基づく会計,theme05,A,63
ch05-p3-q07,発生主義での費用・収益の認識時点は？,経済価値の増減,theme05,A,63
ch05-p3-q08,現金主義会計から発生主義会計へ移行した環境要因を3つ示せ。,信用取引の発達||在庫の恒常化||固定資産の増大,theme05,A,63
ch05-p3-q09,発生主義会計の特徴を2つ示せ。,企業活動に即している||合理的な対応計算ができる,theme05,A,63
ch05-p5-q01,企業の各期間の（①）の合計は企業の全生涯を仮定した場合における全体期間の（①）に一致するとの考えを一致の原則という。また、全体期間の（①）は全体期間の（②）にも一致する。純利益も、包括利益もこのような（①）計算が（②）を基礎とするという制約を満たす。,利益||キャッシュ・フロー,theme05,B,65
ch05-p5-q02,発生主義による損益計算は、期間収益から期間費用を差し引いて行われる。期間収益と期間費用は（①）に基づいて計上されるため、期間損益計算は（①）を期間（②）したものであるといわれる。,キャッシュ・フロー||配分,theme05,B,65
ch05-p5-q03,現金主義会計による利益は、現金収入と現金支出との差額として算出されるため（①）を有している。これに対して発生主義会計による利益は、経済価値の増減に着目したものであるため、（②）を有している。,処分可能性||業績指標性,theme05,B,65
ch05-p7-q01,各期の利益の合計と全体期間の利益が一致するという原則は？,一致の原則,theme05,B,67
ch05-p7-q02,全体期間の損益計算と収支計算の関係を算式で示せ。,全体期間の損益計算＝全体期間の収支計算|全体期間の損益計算=全体期間の収支計算,theme05,B,67
ch05-p7-q03,現金主義会計による利益が有する性格は？,処分可能性,theme05,B,67
ch05-p7-q04,発生主義会計による利益が有する性格は？,業績指標性,theme05,B,67
ch05-p7-q05,発生主義会計による利益計算の目的は？,収益力の算定表示,theme05,B,67
ch05-p7-q06,キャッシュ・フロー計算の目的は？,キャッシュ・フロー生成能力の表示,theme05,B,67
ch05-p7-q07,時価主義と整合的な損益の認識基準は？,発生主義,theme05,B,67
ch05-p7-q08,原価主義と整合的な損益の認識基準は？,実現主義,theme05,B,67
ch06-p1-q01,実現主義とは、（①）の認識を（②）の時点で行う考え方をいう。（②）とは、財やサービスの（③）と貨幣性資産の受領による（④）の成立をいう。実現主義によれば、収益計上の（⑤）と金額の（⑥）を確保することができる。,収益||実現||移転||対価||確実性||客観性,theme06,A,73
ch06-p1-q02,投資のリスクとは、投資の成果の（①）をいい、投資のリスクからの解放とは、投資にあたって期待された成果が事実として（②）することをいう。投資がリスクから解放された段階で（③）が認識される。（③）は、収益から費用を控除して計算されるのであるから、収益と費用も投資がリスクから解放された段階で認識されるといえる。,不確定性||確定||純利益,theme06,A,73
ch06-p1-q03,（①）の変動を期待した（②）は、（①）の変動額がリスクから解放された投資の成果とみられるため、（①）で評価し、帳簿価額との差額を（③）とする。（①）の変動を期待せず、使用や販売によるキャッシュの獲得を期待した（④）は、キャッシュの獲得により投資がリスクから解放されたものとみられるため、（⑤）で評価し、これを（⑥）する。,時価||金融投資||当期の損益||事業投資||取得原価||費用配分,theme06,A,73
ch06-p3-q01,企業会計原則における収益の認識基準は？,実現主義,theme06,A,75
ch06-p3-q02,実現主義とは？,収益を実現の時点で認識する考え方,theme06,A,75
ch06-p3-q03,収益の実現の具体的要件を2つ示せ。,財やサービスの移転||対価の成立,theme06,A,75
ch06-p3-q04,実現主義の採用根拠は？,収益計上の確実性と金額の客観性を満たす|収益計上の確実性と金額の客観性,theme06,A,75
ch06-p3-q05,実現主義と結びつく資産の評価基準は？,取得原価基準,theme06,A,75
ch06-p3-q06,実現主義が原価主義と整合的な理由は？,評価益を計上しないため|評価益を計上しない,theme06,A,75
ch06-p3-q07,投資のリスクからの解放は何の認識規準か？,純利益,theme06,A,75
ch06-p3-q08,投資のリスクとは？,投資の成果の不確定性,theme06,A,75
ch06-p3-q09,リスクからの解放とは？,期待された成果の確定|投資にあたって期待された成果が事実として確定すること,theme06,A,75
ch06-p5-q01,収益認識の基本となる原則は、約束した（①）または（②）の顧客への（③）を、その（①）または（②）と交換に企業が権利を得ると見込む（④）で描写するように（⑤）することである。,財||サービス||移転||対価の額||収益を認識,theme06,B,77
ch06-p5-q02,基本となる原則に従って収益を認識するために、次の5つのステップを適用する。(1) 顧客との（①）を識別する。(2)（①）における（②）を識別する。(3)（③）を算定する。(4)（①）における（②）に（③）を配分する。(5)（②）を充足した時にまたは充足するにつれて（④）する。,契約||履行義務||取引価格||収益を認識,theme06,B,77
ch06-p5-q03,約束した（①）や（②）（資産）を顧客に（③）することにより（④）を充足した時にまたは充足するにつれて、充足した（④）に配分された額で（⑤）する。資産が移転するのは、顧客が当該資産に対する（⑥）を獲得した時または獲得するにつれてである。,財||サービス||移転||履行義務||収益を認識||支配,theme06,B,77
ch06-p7-q01,収益認識基準の対象となる収益は？,顧客との契約により生ずる収益,theme06,B,79
ch06-p7-q02,収益認識基準の基本となる原則は？,約束した財やサービスの顧客への移転を、当該財やサービスと交換に企業が権利を得ると見込む対価の額で描写するように、収益を認識することである|約束した財やサービスの顧客への移転を当該財やサービスと交換に企業が権利を得ると見込む対価の額で描写するように収益を認識すること,theme06,B,79
ch06-p7-q03,収益認識の5つのステップは？,顧客との契約を識別する||契約における履行義務を識別する||取引価格を算定する||契約における履行義務に取引価格を配分する||履行義務を充足した時にまたは充足するにつれて収益を認識する,theme06,B,79
ch06-p7-q04,資産が移転するのは？,顧客が当該資産に対する支配を獲得したとき|顧客が当該資産に対する支配を獲得した時,theme06,B,79
ch06-p7-q05,商品販売における原則的な具体的認識基準は？,検収基準,theme06,B,79
ch07-p1-q01,棚卸資産の（①）は、売上高と（②）的な（③）関係を有する売上原価と次期以後の費用となる期末棚卸資産原価とに配分される。通常の販売目的で保有する棚卸資産は、（①）を貸借対照表価額とし、期末の（④）が（①）より下落している場合には、当該（④）をもって貸借対照表価額とする。この場合に（①）と（④）との差額は、当期の（⑤）として処理する。,取得原価||個別||対応||正味売却価額||費用,theme07,A,85
ch07-p1-q02,通常の販売目的で保有する棚卸資産の収益性の低下による帳簿価額の切下げは、資産を時価で評価し、評価差額を当期の（①）とする会計処理とは異なり、（②）基準の下で、（③）性を反映させるために過大な帳簿価額を減額し、将来に（④）を繰り延べないために行われる会計処理である。,損益||取得原価||回収可能||損失,theme07,A,85
ch07-p1-q03,先入先出法は、一般的な物の流れに即しており、棚卸資産が期末の時価に近い価格水準で評価される。しかし、価格変動時に同一価格水準での収益と費用の（①）計算ができず、特に価格上昇時に（②）が計上される。,対応||保有利益,theme07,A,85
ch07-p3-q01,棚卸資産とは？,営業目的の資産,theme07,A,87
ch07-p3-q02,棚卸資産の原則的な期末評価額は？,取得原価,theme07,A,87
ch07-p3-q03,棚卸資産の期末評価額は？,取得原価と正味売却価額の低い金額|取得原価と正味売却価額のいずれか低い金額,theme07,A,87
ch07-p3-q04,棚卸資産の資金回収手段は？,販売,theme07,A,87
ch07-p3-q05,収益性の低下による簿価切下げの意味は？,将来に損失を繰り延べない|将来に損失を繰り延べないこと,theme07,A,87
ch07-p3-q06,連続意見書での低価基準の採用根拠は？,保守主義,theme07,A,87
ch07-p3-q07,低価基準採用時の翌期首の処理方法は？,切放方式||洗替方式,theme07,A,87
ch07-p3-q08,価格変動と原価配分計算が完全に一致する原価配分方法は？,個別法,theme07,A,87
ch07-p3-q09,物の流れと計算の仮定が一致する原価配分方法は？,先入先出法,theme07,A,87
ch07-p3-q10,名目的利益を排除できる棚卸資産の原価配分方法は？,後入先出法,theme07,A,87
ch07-p3-q11,同一価格水準での収益と費用の対応が可能な原価配分方法は？,後入先出法,theme07,A,87
ch07-p5-q01,低価主義の考え方には、保守主義説以外に（①）説と（②）説がある。（①）説とは、取得原価のうち有効な部分のみを次期に繰り越す考え方である。これに対して（②）説は、取得原価のうち回収可能な原価のみを次期に繰り越す考え方である。,有効原価||回収可能原価,theme07,B,89
ch07-p5-q02,有効原価説のもとでは時価として（①）が採用され、回収可能原価説のもとでは時価として（②）が採用される。,再調達原価||正味売却価額,theme07,B,89
ch07-p5-q03,仕入割引の性格に関しては、異なる二つの見解がある。一つは、決済取引を仕入取引とは別個の取引とみて、仕入額を仕入時に確定するものとし、仕入割引は（①）とする見解である。もう一つは、決済取引を仕入取引と連続する一つの取引とみて、仕入額を決済時に確定するものとし、仕入割引は（②）の控除項目とする見解である。,営業外収益||仕入,theme07,B,89
ch07-p7-q01,通常の営業過程で販売するために保有する財貨・用役を2つ示せ。,商品||製品,theme07,B,91
ch07-p7-q02,販売を目的として現に製造中の財貨・用役を2つ示せ。,半製品||仕掛品,theme07,B,91
ch07-p7-q03,販売目的の財貨・用役を生産するために短期的に消費される財貨を2つ示せ。,原材料||工場消耗品,theme07,B,91
ch07-p7-q04,販売・管理活動で短期的に消費される財貨を2つ示せ。,事務用消耗品||荷造用品,theme07,B,91
ch07-p7-q05,購入した棚卸資産の取得原価は？,購入代価＋付随費用|購入代価に付随費用を加算した金額,theme07,B,91
ch07-p7-q06,生産した棚卸資産の取得原価は？,製造原価,theme07,B,91
ch07-p7-q07,棚卸資産の数量計算方法を2つ示せ。,継続記録法||棚卸計算法,theme07,B,91
ch07-p7-q08,仕入割引の取扱いを2つ示せ。,営業外収益||仕入の控除項目,theme07,B,91
ch07-p7-q09,保守主義以外の低価法の考え方を2つ示せ。,回収可能原価説||有効原価説,theme07,B,91
ch07-p7-q10,回収可能原価説で採用される時価は？,正味売却価額,theme07,B,91
ch07-p7-q11,有効原価説で採用される時価は？,再調達原価,theme07,B,91
ch08-p1-q01,売買目的有価証券は（①）の変動を目的として保有する有価証券であり、投資者に有用な情報は（①）であるため、期末（①）を貸借対照表価額とする。また、評価差額は財務活動の（②）であるため、当期の（③）とする。,時価||成果||損益,theme08,A,97
ch08-p1-q02,満期保有目的の債券については、元本および利息の受取額という将来キャッシュ・フローが（①）しており、市場金利の変動による価格変動（②）を考慮する必要がないため（③）で評価する。ただし、（④）と額面金額とが異なる場合の差額が（⑤）のときは、償却原価法を適用する。,確定||リスク||取得原価||取得価額||金利の調整,theme08,A,97
ch08-p1-q03,子会社株式および関連会社株式は、それぞれ企業支配や影響力の行使を目的としており、事実上の（①）に該当するため（②）で評価する。,事業投資||取得原価,theme08,A,97
ch08-p1-q04,その他有価証券について、投資者に有用なのは期末（①）であり、期末（①）を貸借対照表価額とするが、売却には事業遂行上等の（②）があるため、評価差額は当期の損益とはせず、純資産の部に計上する。,時価||制約,theme08,A,97
ch08-p3-q01,売買目的有価証券を時価評価する理由は？,有用だから|投資者に有用だから,theme08,A,99
ch08-p3-q02,売買目的有価証券の評価差額を損益とする理由は？,成果だから|財務活動の成果だから,theme08,A,99
ch08-p3-q03,満期保有目的の債券の貸借対照表価額は？,取得原価,theme08,A,99
ch08-p3-q04,満期保有目的の債券を時価評価しない理由は？,将来キャッシュ・フローが確定しているから|将来キャッシュ・フローが固定しているから,theme08,A,99
ch08-p3-q05,償却原価法が適用される条件は？,取得差額が金利の調整であること|取得価額と額面金額との差額が金利の調整であること,theme08,A,99
ch08-p3-q06,償却原価法の種類は？ 原則と例外を示せ。,利息法||定額法,theme08,A,99
ch08-p3-q07,子会社株式を取得原価で評価する理由は？,事業投資だから|事業投資に該当するから,theme08,A,99
ch08-p3-q08,その他有価証券を時価評価する理由は？,有用だから|投資者に有用だから,theme08,A,99
ch08-p3-q09,その他有価証券の評価差額を損益にしない理由は？,売却に制約がある|売却に事業遂行上等の制約がある,theme08,A,99
